date,open,high,low,close,volume
2025-09-30,254.3752,255.4331,252.6285,254.1456,37704300
2025-10-01,254.5548,258.2977,254.4450,254.9640,48713900
2025-10-02,256.0919,257.6888,253.6665,256.6408,42630200
2025-10-03,254.1855,258.7468,253.4669,257.5291,49155600
2025-10-06,257.4992,258.5772,254.5648,256.2017,44664100
2025-10-07,256.3214,256.9103,254.9441,255.9921,31955800
2025-10-08,256.0320,258.0282,255.6228,257.5691,36496900
2025-10-09,257.3195,257.5092,252.6584,253.5567,38322000
2025-10-10,254.4550,255.8923,243.5358,244.8034,61999100
2025-10-13,248.9056,249.2150,245.0928,247.1889,38142900
2025-10-14,246.1309,248.3766,244.2345,247.2986,35478000
2025-10-15,249.0154,251.3409,246.9992,248.8656,33893600
2025-10-16,247.7777,248.5662,244.6637,246.9792,39777000
2025-10-17,247.5482,252.8980,246.7996,251.8100,49147000
2025-10-20,255.4032,263.8771,255.1437,261.7411,90483000
2025-10-21,261.3818,264.7853,261.3319,262.2701,46695900
2025-10-22,262.1503,262.3500,254.9441,257.9583,45015300
2025-10-23,259.4455,260.1242,257.5192,259.0862,32754900
2025-10-24,260.6931,263.6275,258.6869,262.3200,38253700
2025-10-27,264.3761,268.6080,264.1465,268.2986,44888200
2025-10-28,268.4783,269.3766,267.6399,268.4883,41534800
2025-10-29,268.7677,270.8937,266.6018,269.1869,51086700
2025-10-30,271.4725,273.6185,267.9692,270.8837,69886500
2025-10-31,276.4631,276.7924,268.6480,269.8557,86167100
2025-11-03,269.9056,270.3347,265.7435,268.5381,50194600
2025-11-04,267.8195,270.9735,267.1109,269.5263,49274800
2025-11-05,268.0990,271.1831,266.4222,269.6261,43683100
2025-11-06,267.3804,272.8799,267.3804,269.2568,51204000
2025-11-07,269.2867,271.7720,266.2625,267.9593,48227400
2025-11-10,268.7086,273.4741,267.2100,269.1781,41312400
2025-11-11,269.5578,275.6521,269.5478,274.9927,46208300
2025-11-12,274.7429,275.4723,271.4460,273.2144,48398000
2025-11-13,273.8537,276.4413,271.8356,272.6949,49602800
2025-11-14,270.7966,275.7020,269.3480,272.1553,47431300
2025-11-17,268.5687,270.2371,265.4816,267.2100,45018300
2025-11-18,269.7376,270.4569,265.0720,267.1900,45677300
2025-11-19,265.2818,271.9555,265.2518,268.3089,40424500
2025-11-20,270.5768,275.1725,265.6714,266.0011,45823600
2025-11-21,265.7014,273.0745,265.4216,271.2362,59030800
2025-11-24,270.6468,276.7411,270.6468,275.6621,65585800
2025-11-25,275.0127,280.1179,274.9927,276.7111,46914200
2025-11-26,276.7011,279.2687,276.3714,277.2905,33431400
2025-11-28,277.0008,278.7392,275.7320,278.5893,20135600
2025-12-01,277.7501,283.1551,275.8819,282.8354,46587700
2025-12-02,282.7354,287.1313,282.3658,285.9225,53669500
2025-12-03,285.9325,288.3502,283.0352,283.8844,43538700
2025-12-04,283.8344,284.4638,278.3295,280.4376,43989100
2025-12-05,280.2777,280.8772,277.7901,278.5194,47265800
2025-12-08,277.8700,279.4086,275.8918,277.6302,38211800
2025-12-09,277.9000,279.7682,276.6611,276.9209,32193300
2025-12-10,277.4903,279.4885,276.1816,278.5194,33038300
2025-12-11,278.8391,279.3286,273.5540,277.7701,33248000
2025-12-12,277.6402,278.9590,276.5612,278.0199,39532900
2025-12-15,279.8881,279.8881,272.5849,273.8537,50409100
2025-12-16,272.5650,275.2425,271.5359,274.3533,37648600
2025-12-17,274.7529,275.9018,271.3861,271.5859,50138700
2025-12-18,273.3542,273.3742,266.7005,271.9355,51630700
2025-12-19,271.8956,274.3433,269.6477,273.4142,144632000
2025-12-22,272.6049,273.6240,270.2571,270.7167,36571800
2025-12-23,270.5868,272.2453,269.3080,272.1054,29642000
2025-12-24,272.0854,275.1725,271.9455,273.5540,17910600
2025-12-26,273.9037,275.1126,272.6049,273.1444,21521800
2025-12-29,272.4351,274.1035,272.0954,273.5041,23715200
2025-12-30,272.5550,273.8238,272.0255,272.8247,22139600
2025-12-31,272.8047,273.4241,271.4960,271.6058,27293600
2026-01-02,272.0055,277.5803,268.7485,270.7567,37838100
2026-01-05,270.3870,271.2562,265.8912,267.0102,45647200
2026-01-06,266.7504,267.2999,261.8749,262.1147,52352100
2026-01-07,262.9540,263.4335,259.5671,260.0866,48309800
2026-01-08,256.7797,259.0476,255.4610,258.7979,50419300
2026-01-09,258.8378,259.9667,255.9805,259.1275,39997000
2026-01-12,258.9177,261.0557,256.5599,260.0067,45263800
2026-01-13,258.4781,261.5652,258.1485,260.8059,45730800
2026-01-14,259.2474,261.5753,256.4700,259.7170,40019400
2026-01-15,260.4063,260.7960,256.8097,257.9686,39388600
2026-01-16,257.6589,258.6580,254.6917,255.2911,72142800
2026-01-20,252.4937,254.5518,243.1924,246.4694,80267500
2026-01-21,248.4675,251.3248,244.9508,247.4185,54641700
2026-01-22,248.9670,250.7654,247.9180,248.1178,39708300
2026-01-23,247.0888,249.1769,244.4513,247.8081,41689000
2026-01-26,251.2449,256.3202,249.5665,255.1712,55969200
2026-01-27,258.9277,261.7051,257.9686,258.0285,49648300
2026-01-28,257.4091,258.6180,254.2721,256.2003,41288000
2026-01-29,257.7588,259.4073,254.1722,258.0385,67253000
2026-01-30,254.9314,261.6551,251.9442,259.2374,92443400
2026-02-02,259.7869,270.2371,258.9677,269.7576,73913400
2026-02-03,268.9484,271.6258,267.3598,269.2281,64394700
2026-02-04,272.0355,278.6892,272.0355,276.2315,90545700
2026-02-05,277.8700,279.2387,272.9746,275.6521,52977400
2026-02-06,276.8609,280.6474,276.6711,277.8600,50453400
2026-02-09,277.9100,278.2000,271.7000,274.6200,44623400
2026-02-10,274.8900,275.3700,272.9400,273.6800,34376900
2026-02-11,274.7000,280.1800,274.4500,275.5000,51931300
2026-02-12,275.5900,275.7200,260.1800,261.7300,81077200
2026-02-13,262.0100,262.2300,255.4500,255.7800,56290700
2026-02-17,258.0500,266.2900,255.5400,263.8800,58469100
2026-02-18,263.6000,266.8200,262.4500,264.3500,34203300
2026-02-19,262.6000,264.4800,260.0500,260.5800,30845300
2026-02-20,258.9700,264.7500,258.1600,264.5800,42070500
2026-02-23,263.4900,269.4300,263.3800,266.1800,37308200
2026-02-24,267.8600,274.8900,267.7100,272.1400,47014600
2026-02-25,271.7800,274.9400,271.0500,274.2300,33714300
2026-02-26,274.9500,276.1100,270.8000,272.9500,32345100
2026-02-27,272.8100,272.8100,262.8900,264.1800,72366500
2026-03-02,262.4100,266.5300,260.2000,264.7200,41827900
2026-03-03,263.4800,265.5600,260.1300,263.7500,38568900
2026-03-04,264.6500,266.1500,261.4200,262.5200,39803100
2026-03-05,260.7900,261.5600,257.2500,260.2900,49658600
2026-03-06,258.6300,258.7700,254.3700,257.4600,41120000
2026-03-09,255.6900,261.1500,253.6800,259.8800,38218500
2026-03-10,257.6500,262.4800,256.9500,260.8300,30590800
2026-03-11,261.0900,262.1300,259.5500,260.8100,26218900
2026-03-12,258.6600,258.9500,254.1800,255.7600,40794000
2026-03-13,255.4800,256.3300,249.5200,250.1200,36930000
2026-03-16,252.1100,253.8900,249.8800,252.8200,32074200
2026-03-17,252.9600,255.1300,252.1800,254.2300,32361600
2026-03-18,252.6300,254.9400,249.0000,249.9400,35757900
2026-03-19,249.4000,251.8300,247.3000,248.9600,34864100
2026-03-20,247.9800,249.2000,246.0000,247.9900,88331100
2026-03-23,253.9700,254.6000,250.2800,251.4900,40546100
2026-03-24,250.3500,254.8300,249.5500,251.6400,45152300
2026-03-25,254.1000,255.0000,251.6000,252.6200,28476700
2026-03-26,252.1200,257.0000,250.7700,252.8900,41796700
2026-03-27,253.9000,255.4900,248.0700,248.8000,47900000
2026-03-30,250.0700,250.8700,245.5100,246.6300,39446200
2026-03-31,247.9100,255.4800,247.1000,253.7900,49598100
2026-04-01,254.0800,256.1800,253.3300,255.6300,40059400
2026-04-02,254.2000,256.1300,250.6500,255.9200,31289400
